Semana,Dia,Fecha,Pilar,Instagram Feed,Instagram Reel,Stories IG,Facebook,TikTok,Estado IG,Estado FB,Estado TK,Aprobado,Notas
1,Lunes,2026-03-03,Comunidad,"LANZAMIENTO - Carrusel 5 slides: Logo + Travesias + Escuela + Veleros + CTA. Caption: Arrancamos a navegar las redes. Somos Espacio Nautico Buenos Aires y hace anos llevamos gente al agua. Compra venta y alquiler de embarcaciones. Escuela de navegacion. Travesias nacionales e internacionales. Servicio tecnico profesional. Puerto Norte frente al Aeroparque. El Rio de la Plata es nuestro patio. Dale follow para enterarte de las proximas salidas tips nauticos y todo lo que pasa en el rio. #EspacioNautico #ENBA #NavegaElRioDeLaPlata #VelerosBuenosAires #RioDeLaPlata #SailingArgentina #PuertoNorte #BuenosAires",,3-5 stories del dia 1 en redes - mostrar equipo y puerto,"Mismo carrusel adaptado con descripcion mas larga. Incluir: Transferencia efectivo tarjeta. Salidas todos los dias desde Puerto Norte.","Video 30-60s POV: trabajas en el medio del Rio de la Plata. Mostrar preparacion del velero salida del puerto navegacion atardecer. Caption: Esto es lo que hacemos todos los dias. Espacio Nautico Buenos Aires. #Sailing #BuenosAires #RioDeLaPlata #Velero #Argentina",pendiente,pendiente,pendiente,FALSE,DIA DE LANZAMIENTO
1,Martes,2026-03-04,Educativo,,"Reel educativo 15-30s: 3 nudos que todo marinero tiene que saber. Tutorial rapido con manos atando nudos. Caption: Arranca por estos 3 y despues te ensenamos el resto en nuestra escuela. #NudosMarineros #TipNautico #AprenderANavegar #EscuelaNautica","Encuesta: Alguna vez navegaste en velero? SI / NO",,Mismo reel adaptado,pendiente,pendiente,pendiente,FALSE,
1,Miercoles,2026-03-05,Travesias,"Destino: Colonia del Sacramento. Foto o carrusel desde el agua + barrio historico. Caption: Colonia del Sacramento. 60 millas nauticas desde Buenos Aires. Una noche de navegacion y amaneces en otro pais. Nuestro destino mas pedido. Reserva: link en bio. #Colonia #ColoniaDelSacramento #TravesiaEnVelero #Uruguay #NavegacionAVela #EspacioNautico",,,"Post Colonia extendido con mas info del destino","Buenos Aires vs Colonia en velero. Split screen o transicion. Salida de BA y llegada a Colonia. Audio trending. #Colonia #Velero #BuenosAires #Uruguay #Sailing",pendiente,pendiente,pendiente,FALSE,
1,Jueves,2026-03-06,Comunidad,,"Reel 30-60s: Un dia en Puerto Norte. Rutina de preparacion de un velero antes de salir. Caption: Lo que no ves antes de que levantemos ancla. #PuertoNorte #BehindTheScenes #VeleroLife #SailingLife",,"Inscripciones abiertas para curso de Timonel. 3 meses de formacion teorico-practica. Instructores certificados. Navegas desde la primera clase. Toda la info: espacionautico.com.ar/escuela-nautica #EscuelaNautica #CursoDeTimonel #BuenosAires",,pendiente,pendiente,pendiente,FALSE,
1,Viernes,2026-03-07,Embarcaciones,"Velero destacado: MASTI. Carrusel con fotos. Caption: MASTI - Disponible. Un velero para disfrutar el rio sin preocupaciones. Consultas: DM o espacionautico.com.ar/veleros-en-venta/masti #VeleroEnVenta #Masti #BrokerNautico #VelerosBuenosAires #Sailing",,Q&A - Preguntanos lo que quieran sobre navegar,,"Lo que ves vs lo que no ves de navegar en velero. Expectativa vs Realidad. Atardecer hermoso vs maniobras viento spray. Audio trending. #VeleroLife #Sailing #ExpectativaVsRealidad",pendiente,pendiente,pendiente,FALSE,
1,Sabado,2026-03-08,Travesias,,,Stories cada 2-3 horas mostrando la navegacion. Fotos + videos cortos + boomerangs. Sticker de ubicacion + temperatura.,,"Clip con mejores momentos de la travesia del dia. #TravesiaEnVelero #SailingDay #RioDeLaPlata",pendiente,pendiente,pendiente,FALSE,Cobertura en vivo si hay salida
1,Domingo,2026-03-09,Comunidad,"Foto inspiracional atardecer en el rio. Caption: Domingo de viento. Hay semanas en las que el rio te llama. Esta fue una de esas. Buena semana para todos. #Atardecer #RioDeLaPlata #Domingo #Sailing #VelerosBuenosAires",,,,,,pendiente,pendiente,FALSE,
2,Lunes,2026-03-10,Educativo,,"Tip: Que llevar a tu primera travesia. Lista rapida con imagenes. #TipNautico #Travesia #PrimerViaje #EspacioNautico",Encuesta: destino favorito? Colonia / Delta / Martin Garcia / Mar del Plata,Compartir reel,Mismo reel adaptado,pendiente,pendiente,pendiente,FALSE,
2,Martes,2026-03-11,Travesias,"Destino: Delta del Parana. Fotos del delta con caption aspiracional. Un laberinto de arroyos a menos de una hora de Buenos Aires. El Delta se navega distinto: lento y con los sentidos abiertos. #Delta #DeltaDelParana #Travesia #EspacioNautico #NavegaElRioDeLaPlata",,"Fotos Delta con stickers","Post Delta extendido con detalles de la experiencia","Delta del Parana en 60 segundos. Video dinamico mostrando arroyos vegetacion fauna. #Delta #BuenosAires #Naturaleza #Velero",pendiente,pendiente,pendiente,FALSE,
2,Miercoles,2026-03-12,Escuela,,"Escuela: Como es una clase practica. Video mostrando alumnos en el agua aprendiendo maniobras. #EscuelaNautica #AprenderANavegar #Timonel #ClasePractica",Behind the scenes de una clase,,Mismo reel adaptado para TikTok,pendiente,pendiente,pendiente,FALSE,
2,Jueves,2026-03-13,Embarcaciones,"Velero: BRAMA. Carrusel con fotos y specs. BRAMA - Disponible. Consultas: DM o espacionautico.com.ar/veleros-en-venta/brama #VeleroEnVenta #Brama #BrokerNautico #VelerosBuenosAires",,"Tour del velero en stories, slide por slide","Post Brama con descripcion extendida","Tour de velero en 30 seg. Recorrida rapida del Brama. #VeleroEnVenta #Sailing #TourVelero",pendiente,pendiente,pendiente,FALSE,
2,Viernes,2026-03-14,Educativo,,"5 cosas que no sabias del Rio de la Plata. Datos curiosos con graficos simples. #RioDeLaPlata #DatosCuriosos #Nautica #BuenosAires",Q&A con el capitan,Compartir reel,Mismo contenido adaptado,pendiente,pendiente,pendiente,FALSE,
2,Sabado,2026-03-15,Travesias,"Cobertura de travesia - fotos del dia en el agua. #TravesiaEnVelero #SailingDay",,Live/Stories de navegacion en tiempo real,Update de la travesia,Clips de la salida del dia,pendiente,pendiente,pendiente,FALSE,
2,Domingo,2026-03-16,Comunidad,"Foto inspiracional. La mejor oficina del mundo no tiene techo. Buena semana. #Domingo #Sailing #RioDeLaPlata #Atardecer",,Recap semanal en stories,,Best of de la semana,pendiente,pendiente,pendiente,FALSE,
3,Lunes,2026-03-17,Educativo,,"Tip: Vocabulario nautico basico. Babor estribor proa popa. Animacion o graficos sobre un velero. #VocabularioNautico #AprenderANavegar #TipNautico","Quiz: que es babor? Izquierda/Derecha",Compartir reel,Reel vocabulario nautico,pendiente,pendiente,pendiente,FALSE,
3,Martes,2026-03-18,Travesias,"Destino: Carmelo. Fotos de Carmelo desde el agua. Carmelo tiene algo que no se explica. Hay que navegarlo. Vinos bodegas tranquilidad y un rio que te lleva. #Carmelo #Uruguay #TravesiaEnVelero #EspacioNautico",,"Fotos Carmelo con stickers de ubicacion","Post Carmelo extendido con detalles del destino","Carmelo desde el agua. Video del viaje y llegada. #Carmelo #Uruguay #Velero #Sailing",pendiente,pendiente,pendiente,FALSE,
3,Miercoles,2026-03-19,Educativo,,"Como es navegar de noche. Video con tomas nocturnas estrellas y luces de navegacion. #NavegacionNocturna #Estrellas #VeleroLife",Fotos nocturnas + estrellas con preguntas,,Reel nocturno atmosferico,pendiente,pendiente,pendiente,FALSE,
3,Jueves,2026-03-20,Comunidad,"Testimonio de cliente/tripulante. Foto + quote del navegante. La primera vez que subi a un velero pense que iba a tener miedo. Volvi con ganas de repetir. #Testimonio #Experiencia #EspacioNautico",,"Repost de stories de clientes (UGC)","Post testimonio con foto y quote",,,pendiente,pendiente,FALSE,
3,Viernes,2026-03-21,Escuela,,"Patron vs Timonel - cual es la diferencia? Comparacion educativa. #PatronDeYate #Timonel #EscuelaNautica #Diferencias",Encuesta: Ya tenes carnet de timonel?,Post educativo sobre habilitaciones,Reel comparativo Patron vs Timonel,pendiente,pendiente,pendiente,FALSE,
3,Sabado,2026-03-22,Travesias,"Cobertura de travesia del dia. #TravesiaEnVelero #SailingDay #RioDeLaPlata",,Live stories de la navegacion,Update del dia,Clips de la travesia,pendiente,pendiente,pendiente,FALSE,
3,Domingo,2026-03-23,Comunidad,"Presentacion del equipo ENBA. Los que hacemos que el rio sea tu lugar. Conoce a la tripulacion de ENBA. #EquipoENBA #Tripulacion #EspacioNautico",,,,"Conoce a la tripulacion de ENBA. Video presentando al equipo. #Equipo #BehindTheScenes",pendiente,pendiente,pendiente,FALSE,
4,Lunes,2026-03-24,Educativo,,"Tip: Meteorologia basica para navegar. Leer nubes viento y presion antes de salir. #Meteorologia #TipNautico #Seguridad",Encuesta: cual es tu viento favorito para navegar?,Compartir reel,Reel meteorologia para navegantes,pendiente,pendiente,pendiente,FALSE,
4,Martes,2026-03-25,Travesias,"Destino: Juan Lacaze. Juan Lacaze: el secreto mejor guardado del Rio de la Plata. Un pueblo costero uruguayo que se descubre navegando. #JuanLacaze #Uruguay #TravesiaEnVelero #EspacioNautico",,"Fotos Juan Lacaze con stickers","Post Juan Lacaze con historia del destino","Buenos Aires a Juan Lacaze en velero. Video del viaje completo. #JuanLacaze #Uruguay #Velero",pendiente,pendiente,pendiente,FALSE,
4,Miercoles,2026-03-26,Educativo,,"Mitos sobre navegar en velero. Desmintiendo creencias comunes. #Mitos #Velero #Nautica #Verdad",Verdadero/Falso quiz nautico en stories,,Reel mitos sobre veleros,pendiente,pendiente,pendiente,FALSE,
4,Jueves,2026-03-27,Embarcaciones,"Velero: MAREJADA. Carrusel con fotos y specs. MAREJADA - Disponible. Consultas: DM o espacionautico.com.ar/veleros-en-venta/marejada #VeleroEnVenta #Marejada #BrokerNautico",,"Tour stories del velero","Post Marejada con descripcion completa","Tour rapido de MAREJADA. Recorrida en 30 segundos. #VeleroEnVenta #Tour #Sailing",pendiente,pendiente,pendiente,FALSE,
4,Viernes,2026-03-28,Comunidad,,"Recap del mes en 30 seg. Lo mejor de marzo en ENBA. #RecapMensual #Marzo #EspacioNautico",Agradecimiento a nuevos seguidores,,Recap mensual con mejores momentos,pendiente,pendiente,pendiente,FALSE,
4,Sabado,2026-03-29,Travesias,"Cobertura travesia del dia. #TravesiaEnVelero #FinDeSemana #RioDeLaPlata",,Live stories de navegacion,Update de la travesia,Clips de la salida,pendiente,pendiente,pendiente,FALSE,
4,Domingo,2026-03-30,Comunidad,"Cierre de mes + adelanto abril. Un mes en el agua. Gracias por sumarse. En abril se viene mas. #ENBA #Marzo #NavegaElRioDeLaPlata",,Preview de proximas salidas de abril,Resumen del mes con numeros,,pendiente,pendiente,pendiente,FALSE,
4,Lunes,2026-03-31,Comunidad,,"Teaser abril. Lo que se viene en abril. Nuevas travesias nuevos destinos. Estan listos? #Abril #Anticipacion #EspacioNautico",Countdown proxima travesia de abril,Post adelanto de actividades abril,"Teaser video abril. Montaje rapido de lo que viene. #Abril #ComingSoon",pendiente,pendiente,pendiente,FALSE,
